"Date","Spot exchange rate, Australian Dollar into US $                          XUDLADD"
"11 Sep 17","1.2455"
"08 Sep 17","1.2404"
"07 Sep 17","1.2442"
"06 Sep 17","1.2513"
"05 Sep 17","1.2467"
"04 Sep 17","1.2571"
"01 Sep 17","1.2539"
"31 Aug 17","1.2609"
"30 Aug 17","1.2653"
"29 Aug 17","1.2527"
"25 Aug 17","1.2594"
"24 Aug 17","1.265"
"23 Aug 17","1.2663"
"22 Aug 17","1.262"
"21 Aug 17","1.2596"
"18 Aug 17","1.2639"
"17 Aug 17","1.2629"
"16 Aug 17","1.2686"
"15 Aug 17","1.2788"
"14 Aug 17","1.2713"
"11 Aug 17","1.27"
"10 Aug 17","1.2676"
"09 Aug 17","1.2703"
"08 Aug 17","1.2665"
"07 Aug 17","1.2647"
"04 Aug 17","1.2637"
"03 Aug 17","1.2571"
"02 Aug 17","1.2547"
"01 Aug 17","1.2519"
"31 Jul 17","1.2528"
"28 Jul 17","1.2494"
"27 Jul 17","1.2542"
"26 Jul 17","1.2617"
"25 Jul 17","1.2591"
"24 Jul 17","1.2606"
"21 Jul 17","1.2633"
"20 Jul 17","1.2561"
"19 Jul 17","1.2596"
"18 Jul 17","1.2617"
"17 Jul 17","1.2789"
"14 Jul 17","1.2804"
"13 Jul 17","1.2947"
"12 Jul 17","1.3029"
"11 Jul 17","1.3137"
"10 Jul 17","1.3168"
"07 Jul 17","1.3149"
"06 Jul 17","1.3193"
"05 Jul 17","1.3191"
"04 Jul 17","1.3142"
"03 Jul 17","1.3077"
"30 Jun 17","1.3038"
"29 Jun 17","1.3023"
"28 Jun 17","1.3141"
"27 Jun 17","1.3173"
"26 Jun 17","1.3175"
"23 Jun 17","1.3208"
"22 Jun 17","1.3264"
"21 Jun 17","1.3242"
"20 Jun 17","1.318"
"19 Jun 17","1.3156"
"16 Jun 17","1.3118"
"15 Jun 17","1.3186"
"14 Jun 17","1.312"
"13 Jun 17","1.3263"
"12 Jun 17","1.3256"
"09 Jun 17","1.3282"
"08 Jun 17","1.327"
"07 Jun 17","1.3233"
"06 Jun 17","1.3301"
"05 Jun 17","1.3364"
"02 Jun 17","1.3443"
"01 Jun 17","1.3541"
"31 May 17","1.343"
"30 May 17","1.341"
"26 May 17","1.343"
"25 May 17","1.3396"
"24 May 17","1.3401"
"23 May 17","1.3346"
"22 May 17","1.3358"
"19 May 17","1.3435"
"18 May 17","1.3464"
"17 May 17","1.3466"
"16 May 17","1.3455"
"15 May 17","1.3473"
"12 May 17","1.3523"
"11 May 17","1.357"
"10 May 17","1.3526"
"09 May 17","1.358"
"08 May 17","1.3539"
"05 May 17","1.3503"
"04 May 17","1.3515"
"03 May 17","1.341"
"02 May 17","1.3301"
"28 Apr 17","1.3369"
"27 Apr 17","1.3423"
"26 Apr 17","1.3385"
"25 Apr 17","1.3268"
"24 Apr 17","1.3215"
"21 Apr 17","1.3294"
"20 Apr 17","1.327"
"19 Apr 17","1.3319"
"18 Apr 17","1.3261"
"13 Apr 17","1.3186"
"12 Apr 17","1.3348"
"11 Apr 17","1.3369"
"10 Apr 17","1.3337"
"07 Apr 17","1.331"
"06 Apr 17","1.324"
"05 Apr 17","1.3189"
"04 Apr 17","1.3231"
"03 Apr 17","1.3158"
"31 Mar 17","1.3111"
"30 Mar 17","1.3031"
"29 Mar 17","1.3057"
"28 Mar 17","1.3098"
"27 Mar 17","1.3134"
"24 Mar 17","1.3127"
"23 Mar 17","1.3084"
"22 Mar 17","1.3029"
"21 Mar 17","1.296"
"20 Mar 17","1.293"
"17 Mar 17","1.3006"
"16 Mar 17","1.3033"
"15 Mar 17","1.317"
"14 Mar 17","1.3201"
"13 Mar 17","1.3191"
"10 Mar 17","1.3261"
"09 Mar 17","1.3335"
"08 Mar 17","1.325"
"07 Mar 17","1.3161"
"06 Mar 17","1.3177"
"03 Mar 17","1.3217"
"02 Mar 17","1.3189"
"01 Mar 17","1.307"
"28 Feb 17","1.3004"
"27 Feb 17","1.3006"
"24 Feb 17","1.3017"
"23 Feb 17","1.2947"
"22 Feb 17","1.3012"
"21 Feb 17","1.3041"
"20 Feb 17","1.3017"
"17 Feb 17","1.3046"
"16 Feb 17","1.3004"
"15 Feb 17","1.3019"
"14 Feb 17","1.3111"
"13 Feb 17","1.3087"
"10 Feb 17","1.3036"
"09 Feb 17","1.3113"
"08 Feb 17","1.3077"
"07 Feb 17","1.3089"
"06 Feb 17","1.3091"
"03 Feb 17","1.3009"
"02 Feb 17","1.3024"
"01 Feb 17","1.3224"
"31 Jan 17","1.3173"
"30 Jan 17","1.3229"
"27 Jan 17","1.3238"
"26 Jan 17","1.3275"
"25 Jan 17","1.3236"
"24 Jan 17","1.3184"
"23 Jan 17","1.3191"
"20 Jan 17","1.3249"
"19 Jan 17","1.3252"
"18 Jan 17","1.3219"
"17 Jan 17","1.3261"
"16 Jan 17","1.3374"
"13 Jan 17","1.3348"
"12 Jan 17","1.3335"
"11 Jan 17","1.3559"
"10 Jan 17","1.3545"
"09 Jan 17","1.3613"
"06 Jan 17","1.3663"
"05 Jan 17","1.3613"
"04 Jan 17","1.3731"
"03 Jan 17","1.3848"
"30 Dec 16","1.3841"
"29 Dec 16","1.3866"
"28 Dec 16","1.3935"
"23 Dec 16","1.3875"
"22 Dec 16","1.3839"
"21 Dec 16","1.3791"
"20 Dec 16","1.3808"
"19 Dec 16","1.3782"
"16 Dec 16","1.3738"
"15 Dec 16","1.3605"
"14 Dec 16","1.3303"
"13 Dec 16","1.3342"
"12 Dec 16","1.3335"
"09 Dec 16","1.3419"
"08 Dec 16","1.3443"
"07 Dec 16","1.3364"
"06 Dec 16","1.3412"
"05 Dec 16","1.3385"
"02 Dec 16","1.3428"
"01 Dec 16","1.3506"
"30 Nov 16","1.3537"
"29 Nov 16","1.3396"
"28 Nov 16","1.336"
"25 Nov 16","1.3459"
"24 Nov 16","1.3497"
"23 Nov 16","1.3534"
"22 Nov 16","1.3556"
"21 Nov 16","1.3576"
"18 Nov 16","1.3609"
"17 Nov 16","1.3382"
"16 Nov 16","1.3389"
"15 Nov 16","1.325"
"14 Nov 16","1.3286"
"11 Nov 16","1.3268"
"10 Nov 16","1.3207"
"09 Nov 16","1.307"
"08 Nov 16","1.2958"
"07 Nov 16","1.3001"
"04 Nov 16","1.304"
"03 Nov 16","1.3017"
"02 Nov 16","1.3043"
"01 Nov 16","1.3055"
"31 Oct 16","1.3137"
"28 Oct 16","1.3193"
"27 Oct 16","1.316"
"26 Oct 16","1.3045"
"25 Oct 16","1.3101"
"24 Oct 16","1.3151"
"21 Oct 16","1.316"
"20 Oct 16","1.3101"
"19 Oct 16","1.3006"
"18 Oct 16","1.3055"
"17 Oct 16","1.3125"
"14 Oct 16","1.3111"
"13 Oct 16","1.3245"
"12 Oct 16","1.3205"
"11 Oct 16","1.3249"
"10 Oct 16","1.3125"
"07 Oct 16","1.3186"
"06 Oct 16","1.3212"
"05 Oct 16","1.3156"
"04 Oct 16","1.3068"
"03 Oct 16","1.3051"
"30 Sep 16","1.3068"
"29 Sep 16","1.3045"
"28 Sep 16","1.3067"
"27 Sep 16","1.306"
"26 Sep 16","1.3089"
"23 Sep 16","1.311"
"22 Sep 16","1.3077"
"21 Sep 16","1.3205"
"20 Sep 16","1.3238"
"19 Sep 16","1.3228"
"16 Sep 16","1.3362"
"15 Sep 16","1.3323"
"14 Sep 16","1.3389"
"13 Sep 16","1.3344"
"12 Sep 16","1.3303"
"09 Sep 16","1.3214"
"08 Sep 16","1.3011"
"07 Sep 16","1.3029"
"06 Sep 16","1.3029"
"05 Sep 16","1.3187"
"02 Sep 16","1.3245"
"01 Sep 16","1.3252"
"31 Aug 16","1.3307"
"30 Aug 16","1.3312"
"26 Aug 16","1.306"
"25 Aug 16","1.3141"
"24 Aug 16","1.3139"
"23 Aug 16","1.3067"
"22 Aug 16","1.3098"
"19 Aug 16","1.3118"
"18 Aug 16","1.3028"
"17 Aug 16","1.3098"
"16 Aug 16","1.3024"
"15 Aug 16","1.3014"
"12 Aug 16","1.2997"
"11 Aug 16","1.2958"
"10 Aug 16","1.2948"
"09 Aug 16","1.3021"
"08 Aug 16","1.3055"
"05 Aug 16","1.3148"
"04 Aug 16","1.3115"
"03 Aug 16","1.3196"
"02 Aug 16","1.3146"
"01 Aug 16","1.3233"
"29 Jul 16","1.3163"
"28 Jul 16","1.3312"
"27 Jul 16","1.339"
"26 Jul 16","1.331"
"25 Jul 16","1.3407"
"22 Jul 16","1.3428"
"21 Jul 16","1.3335"
"20 Jul 16","1.336"
"19 Jul 16","1.3351"
"18 Jul 16","1.3187"
"15 Jul 16","1.3182"
"14 Jul 16","1.3099"
"13 Jul 16","1.3111"
"12 Jul 16","1.3118"
"11 Jul 16","1.3261"
"08 Jul 16","1.3242"
"07 Jul 16","1.3342"
"06 Jul 16","1.334"
"05 Jul 16","1.339"
"04 Jul 16","1.3259"
"01 Jul 16","1.3362"
"30 Jun 16","1.3428"
"29 Jun 16","1.3444"
"28 Jun 16","1.3587"
"27 Jun 16","1.3615"
"24 Jun 16","1.3346"
"23 Jun 16","1.3196"
"22 Jun 16","1.3342"
"21 Jun 16","1.3414"
"20 Jun 16","1.3398"
"17 Jun 16","1.3539"
"16 Jun 16","1.3686"
"15 Jun 16","1.3479"
"14 Jun 16","1.3592"
"13 Jun 16","1.3506"
"10 Jun 16","1.3501"
"09 Jun 16","1.3448"
"08 Jun 16","1.339"
"07 Jun 16","1.3417"
"06 Jun 16","1.3561"
"03 Jun 16","1.3654"
"02 Jun 16","1.3833"
"01 Jun 16","1.3799"
"31 May 16","1.3803"
"27 May 16","1.391"
"26 May 16","1.3854"
"25 May 16","1.3916"
"24 May 16","1.3918"
"23 May 16","1.3881"
"20 May 16","1.3848"
"19 May 16","1.3893"
"18 May 16","1.3751"
"17 May 16","1.3622"
"16 May 16","1.3693"
"13 May 16","1.3753"
"12 May 16","1.3615"
"11 May 16","1.3539"
"10 May 16","1.3574"
"09 May 16","1.3661"
"06 May 16","1.36"
"05 May 16","1.3387"
"04 May 16","1.3385"
"03 May 16","1.3326"
"29 Apr 16","1.3101"
"28 Apr 16","1.3113"
"27 Apr 16","1.3194"
"26 Apr 16","1.2917"
"25 Apr 16","1.2942"
"22 Apr 16","1.294"
"21 Apr 16","1.2873"
"20 Apr 16","1.2807"
"19 Apr 16","1.2801"
"18 Apr 16","1.2905"
"15 Apr 16","1.298"
"14 Apr 16","1.2979"
"13 Apr 16","1.3091"
"12 Apr 16","1.3103"
"11 Apr 16","1.3153"
"08 Apr 16","1.321"
"07 Apr 16","1.3301"
"06 Apr 16","1.3226"
"05 Apr 16","1.3264"
"04 Apr 16","1.3132"
"01 Apr 16","1.3086"
"31 Mar 16","1.2995"
"30 Mar 16","1.2994"
"29 Mar 16","1.321"
"24 Mar 16","1.3305"
"23 Mar 16","1.3275"
"22 Mar 16","1.3115"
"21 Mar 16","1.3167"
"18 Mar 16","1.3127"
"17 Mar 16","1.3092"
"16 Mar 16","1.3452"
"15 Mar 16","1.3398"
"14 Mar 16","1.3307"
"11 Mar 16","1.3242"
"10 Mar 16","1.3428"
"09 Mar 16","1.3326"
"08 Mar 16","1.3439"
"07 Mar 16","1.3392"
"04 Mar 16","1.3493"
"03 Mar 16","1.3569"
"02 Mar 16","1.3774"
"01 Mar 16","1.3982"
"29 Feb 16","1.4006"
"26 Feb 16","1.3966"
"25 Feb 16","1.3885"
"24 Feb 16","1.3935"
"23 Feb 16","1.3858"
"22 Feb 16","1.3829"
"19 Feb 16","1.4102"
"18 Feb 16","1.399"
"17 Feb 16","1.3949"
"16 Feb 16","1.4106"
"15 Feb 16","1.3998"
"12 Feb 16","1.4118"
"11 Feb 16","1.4134"
"10 Feb 16","1.4102"
"09 Feb 16","1.4126"
"08 Feb 16","1.4136"
"05 Feb 16","1.4114"
"04 Feb 16","1.3829"
"03 Feb 16","1.4067"
"02 Feb 16","1.4184"
"01 Feb 16","1.4114"
"29 Jan 16","1.414"
"28 Jan 16","1.411"
"27 Jan 16","1.4192"
"26 Jan 16","1.4286"
"25 Jan 16","1.4345"
"22 Jan 16","1.4233"
"21 Jan 16","1.4395"
"20 Jan 16","1.4616"
"19 Jan 16","1.4455"
"18 Jan 16","1.4543"
"15 Jan 16","1.4533"
"14 Jan 16","1.4366"
"13 Jan 16","1.4292"
"12 Jan 16","1.4327"
"11 Jan 16","1.4306"
"08 Jan 16","1.4337"
"07 Jan 16","1.4247"
"06 Jan 16","1.416"
"05 Jan 16","1.4017"
"04 Jan 16","1.3955"
"31 Dec 15","1.3674"
"30 Dec 15","1.3712"
"29 Dec 15","1.3714"
"24 Dec 15","1.3749"
"23 Dec 15","1.3835"
"22 Dec 15","1.3827"
"21 Dec 15","1.3916"
"18 Dec 15","1.3924"
"17 Dec 15","1.4059"
"16 Dec 15","1.3902"
"15 Dec 15","1.3947"
"14 Dec 15","1.3814"
"11 Dec 15","1.3873"
"10 Dec 15","1.3706"
"09 Dec 15","1.3843"
"08 Dec 15","1.3839"
"07 Dec 15","1.3744"
"04 Dec 15","1.3598"
"03 Dec 15","1.3714"
"02 Dec 15","1.3665"
"01 Dec 15","1.3686"
"30 Nov 15","1.3803"
"27 Nov 15","1.3906"
"26 Nov 15","1.3835"
"25 Nov 15","1.3829"
"24 Nov 15","1.3837"
"23 Nov 15","1.39"
"20 Nov 15","1.3824"
"19 Nov 15","1.3885"
"18 Nov 15","1.412"
"17 Nov 15","1.4045"
"16 Nov 15","1.4114"
"13 Nov 15","1.4053"
"12 Nov 15","1.4067"
"11 Nov 15","1.4168"
"10 Nov 15","1.4231"
"09 Nov 15","1.4178"
"06 Nov 15","1.4209"
"05 Nov 15","1.4"
"04 Nov 15","1.398"
"03 Nov 15","1.3949"
"02 Nov 15","1.3996"
"30 Oct 15","1.4019"
"29 Oct 15","1.4124"
"28 Oct 15","1.4"
"27 Oct 15","1.3826"
"26 Oct 15","1.377"
"23 Oct 15","1.3837"
"22 Oct 15","1.3847"
"21 Oct 15","1.3858"
"20 Oct 15","1.377"
"19 Oct 15","1.3782"
"16 Oct 15","1.3765"
"15 Oct 15","1.3667"
"14 Oct 15","1.3774"
"13 Oct 15","1.3702"
"12 Oct 15","1.3563"
"09 Oct 15","1.3626"
"08 Oct 15","1.3879"
"07 Oct 15","1.3848"
"06 Oct 15","1.4013"
"05 Oct 15","1.4122"
"02 Oct 15","1.4223"
"01 Oct 15","1.418"
"30 Sep 15","1.4237"
"29 Sep 15","1.4265"
"28 Sep 15","1.4296"
"25 Sep 15","1.4251"
"24 Sep 15","1.43"
"23 Sep 15","1.4255"
"22 Sep 15","1.4162"
"21 Sep 15","1.4011"
"18 Sep 15","1.3848"
"17 Sep 15","1.3996"
"16 Sep 15","1.3906"
"15 Sep 15","1.4106"
"14 Sep 15","1.3992"
"11 Sep 15","1.4168"
"10 Sep 15","1.417"
"09 Sep 15","1.4227"
"08 Sep 15","1.4294"
"07 Sep 15","1.4434"
"04 Sep 15","1.4426"
"03 Sep 15","1.4233"
"02 Sep 15","1.4273"
"01 Sep 15","1.4217"
"28 Aug 15","1.3982"
"27 Aug 15","1.3998"
"26 Aug 15","1.4069"
"25 Aug 15","1.3937"
"24 Aug 15","1.3902"
"21 Aug 15","1.3635"
"20 Aug 15","1.3631"
"19 Aug 15","1.3659"
"18 Aug 15","1.3643"
"17 Aug 15","1.355"
"14 Aug 15","1.3559"
"13 Aug 15","1.3594"
"12 Aug 15","1.3569"
"11 Aug 15","1.3706"
"10 Aug 15","1.3526"
"07 Aug 15","1.3523"
"06 Aug 15","1.3607"
"05 Aug 15","1.3615"
"04 Aug 15","1.3479"
"03 Aug 15","1.374"
"31 Jul 15","1.3611"
"30 Jul 15","1.3746"
"29 Jul 15","1.3686"
"28 Jul 15","1.3693"
"27 Jul 15","1.3699"
"24 Jul 15","1.374"
"23 Jul 15","1.3563"
"22 Jul 15","1.3552"
"21 Jul 15","1.3444"
"20 Jul 15","1.3559"
"17 Jul 15","1.3543"
"16 Jul 15","1.3472"
"15 Jul 15","1.3512"
"14 Jul 15","1.3426"
"13 Jul 15","1.3539"
"10 Jul 15","1.3475"
"09 Jul 15","1.3464"
"08 Jul 15","1.3444"
"07 Jul 15","1.3466"
"06 Jul 15","1.328"
"03 Jul 15","1.3301"
"02 Jul 15","1.3101"
"01 Jul 15","1.3045"
"30 Jun 15","1.3012"
"29 Jun 15","1.3068"
"26 Jun 15","1.3087"
"25 Jun 15","1.292"
"24 Jun 15","1.3004"
"23 Jun 15","1.2945"
"22 Jun 15","1.2888"
"19 Jun 15","1.289"
"18 Jun 15","1.2776"
"17 Jun 15","1.3045"
"16 Jun 15","1.2897"
"15 Jun 15","1.2875"
"12 Jun 15","1.2922"
"11 Jun 15","1.2955"
"10 Jun 15","1.2893"
"09 Jun 15","1.3029"
"08 Jun 15","1.3103"
"05 Jun 15","1.3111"
"04 Jun 15","1.3028"
"03 Jun 15","1.2814"
"02 Jun 15","1.2908"
"01 Jun 15","1.3134"
"29 May 15","1.306"
"28 May 15","1.3091"
"27 May 15","1.296"
"26 May 15","1.2915"
"22 May 15","1.2778"
"21 May 15","1.2698"
"20 May 15","1.2692"
"19 May 15","1.2642"
"18 May 15","1.2486"
"15 May 15","1.2416"
"14 May 15","1.2373"
"13 May 15","1.2347"
"12 May 15","1.2533"
"11 May 15","1.2633"
"08 May 15","1.2655"
"07 May 15","1.2634"
"06 May 15","1.2473"
"05 May 15","1.2596"
"01 May 15","1.2762"
"30 Apr 15","1.2679"
"29 Apr 15","1.2408"
"28 Apr 15","1.2498"
"27 Apr 15","1.2716"
"24 Apr 15","1.2784"
"23 Apr 15","1.2872"
"22 Apr 15","1.2883"
"21 Apr 15","1.2915"
"20 Apr 15","1.2943"
"17 Apr 15","1.2872"
"16 Apr 15","1.2867"
"15 Apr 15","1.313"
"14 Apr 15","1.3075"
"13 Apr 15","1.3214"
"10 Apr 15","1.3017"
"09 Apr 15","1.2989"
"08 Apr 15","1.2989"
"07 Apr 15","1.307"
"02 Apr 15","1.3198"
"01 Apr 15","1.3129"
"31 Mar 15","1.3086"
"30 Mar 15","1.3091"
"27 Mar 15","1.2898"
"26 Mar 15","1.2763"
"25 Mar 15","1.2729"
"24 Mar 15","1.2708"
"23 Mar 15","1.2742"
"20 Mar 15","1.2888"
"19 Mar 15","1.3127"
"18 Mar 15","1.3067"
"17 Mar 15","1.3132"
"16 Mar 15","1.3065"
"13 Mar 15","1.3106"
"12 Mar 15","1.2979"
"11 Mar 15","1.3191"
"10 Mar 15","1.3096"
"09 Mar 15","1.2962"
"06 Mar 15","1.2935"
"05 Mar 15","1.2857"
"04 Mar 15","1.2786"
"03 Mar 15","1.2768"
"02 Mar 15","1.2847"
"27 Feb 15","1.2773"
"26 Feb 15","1.278"
"25 Feb 15","1.2676"
"24 Feb 15","1.2791"
"23 Feb 15","1.2812"
"20 Feb 15","1.2767"
"19 Feb 15","1.2832"
"18 Feb 15","1.283"
"17 Feb 15","1.2817"
"16 Feb 15","1.2862"
"13 Feb 15","1.2862"
"12 Feb 15","1.2965"
"11 Feb 15","1.2963"
"10 Feb 15","1.2853"
"09 Feb 15","1.2786"
"06 Feb 15","1.2809"
"05 Feb 15","1.2809"
"04 Feb 15","1.2905"
"03 Feb 15","1.3006"
"02 Feb 15","1.2789"
"30 Jan 15","1.2835"
"29 Jan 15","1.284"
"28 Jan 15","1.2561"
"27 Jan 15","1.2574"
"26 Jan 15","1.2618"
"23 Jan 15","1.2583"
"22 Jan 15","1.2332"
"21 Jan 15","1.2271"
"20 Jan 15","1.2228"
"19 Jan 15","1.2167"
"16 Jan 15","1.2194"
"15 Jan 15","1.2154"
"14 Jan 15","1.2256"
"13 Jan 15","1.2264"
"12 Jan 15","1.2255"
"09 Jan 15","1.2213"
