SERIES,DESCRIPTION,,
XUDLERD,Spot exchange rate - Euro into US $,,
XUDLGBD,Spot exchange rate - Sterling into US$,,
XUDLJYD,Spot exchange rate - Japanese Yen into US $,,
,,,
DATE,XUDLERD,XUDLGBD,XUDLJYD
2-Jan-75,0.7633,0.4281,300.75
3-Jan-75,0.7585,0.4271,300.65
6-Jan-75,0.7524,0.4252,300.85
7-Jan-75,0.751,0.4246,300.65
8-Jan-75,0.7554,0.4258,300.7
9-Jan-75,0.7551,0.4256,300.77
10-Jan-75,0.7534,0.4251,300.82
13-Jan-75,0.754,0.4248,300.82
14-Jan-75,0.7588,0.4261,300.9
15-Jan-75,0.7562,0.4254,300.77
16-Jan-75,0.7546,0.4249,300.75
17-Jan-75,0.7537,0.4249,300.87
20-Jan-75,0.7503,0.4244,300.9
21-Jan-75,0.7487,0.4231,300.72
22-Jan-75,0.7416,0.4183,300.07
23-Jan-75,0.7404,0.42,299.27
24-Jan-75,0.7384,0.4196,295
27-Jan-75,0.7324,0.4168,295.55
28-Jan-75,0.7357,0.4197,297.35
29-Jan-75,0.7429,0.4218,297.27
30-Jan-75,0.7418,0.421,297.82
31-Jan-75,0.7423,0.42,297.85
3-Feb-75,0.745,0.4211,297.45
4-Feb-75,0.7518,0.4221,297.02
5-Feb-75,0.7513,0.422,297.17
6-Feb-75,0.7495,0.4223,296.4
7-Feb-75,0.7477,0.4213,295.3
10-Feb-75,0.7441,0.4192,292.22
11-Feb-75,0.7438,0.4197,291.5
12-Feb-75,0.7427,0.4186,292.4
13-Feb-75,0.7383,0.4184,294.7
14-Feb-75,0.7382,0.4183,293.02
17-Feb-75,0.7361,0.4179,292.94
18-Feb-75,0.7366,0.4178,293.22
19-Feb-75,0.7375,0.4171,291.6
20-Feb-75,0.7336,0.4165,291.22
21-Feb-75,0.7331,0.4162,289.4
24-Feb-75,0.7282,0.4128,285.6
25-Feb-75,0.7304,0.4138,286.25
26-Feb-75,0.7256,0.4125,285.5
27-Feb-75,0.7225,0.4119,285.85
28-Feb-75,0.7222,0.4117,286.35
3-Mar-75,0.7214,0.4111,285.3
4-Mar-75,0.7253,0.4116,284.5
5-Mar-75,0.7246,0.4109,285.05
6-Mar-75,0.7276,0.4119,285.72
7-Mar-75,0.7345,0.4153,286.25
10-Mar-75,0.7341,0.4156,286.15
11-Mar-75,0.7289,0.4129,286.1
12-Mar-75,0.7338,0.4149,287.42
13-Mar-75,0.7329,0.414,288.8
14-Mar-75,0.7309,0.4136,287.95
17-Mar-75,0.7306,0.4134,286.3
18-Mar-75,0.7278,0.4123,286.9
19-Mar-75,0.7259,0.4117,288.2
20-Mar-75,0.7284,0.4125,287.1
21-Mar-75,0.7307,0.4131,287.25
24-Mar-75,0.7327,0.4137,287.85
25-Mar-75,0.7336,0.414,289.92
26-Mar-75,0.7353,0.4145,290.32
27-Mar-75,0.7374,0.4162,292.1
1-Apr-75,0.7351,0.4153,290.87
2-Apr-75,0.7349,0.4153,291.4
3-Apr-75,0.7375,0.4163,292.1
4-Apr-75,0.7432,0.4183,292.22
7-Apr-75,0.7428,0.4202,291.72
8-Apr-75,0.7405,0.4199,291.75
9-Apr-75,0.7409,0.4205,291.67
10-Apr-75,0.7457,0.4232,291.72
11-Apr-75,0.7449,0.4227,290.9
14-Apr-75,0.7471,0.4243,291.12
15-Apr-75,0.7444,0.4227,290.97
16-Apr-75,0.7436,0.4226,291.25
17-Apr-75,0.7433,0.4224,291.52
18-Apr-75,0.743,0.4211,291.7
21-Apr-75,0.7441,0.4233,292.67
22-Apr-75,0.7427,0.4248,292.62
23-Apr-75,0.7379,0.4219,292.72
24-Apr-75,0.7388,0.4238,292.76
25-Apr-75,0.7418,0.4251,293.75
28-Apr-75,0.7435,0.4263,294.42
29-Apr-75,0.7406,0.4248,293.7
30-Apr-75,0.7394,0.4251,292.1
1-May-75,0.7391,0.4257,292.07
2-May-75,0.7405,0.4275,290.35
5-May-75,0.7378,0.4272,290.67
6-May-75,0.7371,0.4275,291.12
7-May-75,0.7346,0.4275,291.1
8-May-75,0.7309,0.4274,291.37
9-May-75,0.7327,0.431,291.35
12-May-75,0.7331,0.4344,291.25
13-May-75,0.727,0.4333,291.27
14-May-75,0.7287,0.4337,291.62
15-May-75,0.7343,0.4344,291.57
16-May-75,0.733,0.4343,291.47
19-May-75,0.731,0.4342,291.87
20-May-75,0.7312,0.4341,292.12
21-May-75,0.7272,0.4321,292.12
22-May-75,0.7254,0.4295,291.65
23-May-75,0.7259,0.4297,290.87
27-May-75,0.7255,0.4298,291.05
28-May-75,0.7251,0.43,290.55
29-May-75,0.7274,0.4317,290.35
30-May-75,0.7295,0.4316,291.4
2-Jun-75,0.7292,0.4313,291.35
3-Jun-75,0.7264,0.4308,290.9
4-Jun-75,0.7277,0.4313,291.25
5-Jun-75,0.7275,0.4306,292.15
6-Jun-75,0.7283,0.4307,291.75
9-Jun-75,0.7293,0.4315,291.8
10-Jun-75,0.7281,0.4329,291.85
11-Jun-75,0.7265,0.4373,291.9
12-Jun-75,0.726,0.4388,292.32
13-Jun-75,0.7269,0.4373,292.57
16-Jun-75,0.7258,0.4389,294.17
17-Jun-75,0.7252,0.4402,293.3
18-Jun-75,0.7271,0.4399,294.05
19-Jun-75,0.7278,0.4399,294.05
20-Jun-75,0.7274,0.4402,293.95
23-Jun-75,0.7291,0.4403,294.5
24-Jun-75,0.7294,0.4433,295.35
25-Jun-75,0.7289,0.4435,297.1
26-Jun-75,0.7298,0.4453,295.82
27-Jun-75,0.7319,0.4495,296.07
30-Jun-75,0.7341,0.4578,295.47
1-Jul-75,0.7366,0.4523,295.7
2-Jul-75,0.7429,0.4546,295.37
3-Jul-75,0.744,0.4554,295.47
4-Jul-75,0.7449,0.4558,295.75
7-Jul-75,0.7486,0.4579,295.5
8-Jul-75,0.7467,0.4553,295.75
9-Jul-75,0.7459,0.453,295.85
10-Jul-75,0.7511,0.4542,296.15
11-Jul-75,0.7551,0.4544,296.07
14-Jul-75,0.7582,0.4565,295.7
15-Jul-75,0.7583,0.4569,295.72
16-Jul-75,0.7647,0.4581,296
17-Jul-75,0.7677,0.4582,296.22
18-Jul-75,0.7711,0.4595,296.12
21-Jul-75,0.775,0.46,296.17
22-Jul-75,0.774,0.4587,296.32
23-Jul-75,0.7818,0.459,296.77
24-Jul-75,0.7821,0.4588,296.75
25-Jul-75,0.7803,0.4588,296.75
28-Jul-75,0.7857,0.4596,297.62
29-Jul-75,0.7881,0.4598,297.22
30-Jul-75,0.7906,0.4624,297.35
31-Jul-75,0.7913,0.4648,297.55
1-Aug-75,0.7914,0.4652,297.82
4-Aug-75,0.791,0.467,297.9
5-Aug-75,0.7871,0.4671,297.97
6-Aug-75,0.7901,0.4698,297.92
7-Aug-75,0.7949,0.4754,297.87
8-Aug-75,0.7939,0.4755,297.65
11-Aug-75,0.7954,0.4757,297.77
12-Aug-75,0.7955,0.4753,297.92
13-Aug-75,0.7946,0.4744,297.92
14-Aug-75,0.7933,0.4744,297.92
15-Aug-75,0.7927,0.4743,297.93
18-Aug-75,0.7915,0.4744,298.1
19-Aug-75,0.7882,0.4723,298.07
20-Aug-75,0.7897,0.4719,297.87
21-Aug-75,0.7899,0.4736,297.97
22-Aug-75,0.7908,0.4748,297.52
26-Aug-75,0.7931,0.4741,298.02
27-Aug-75,0.7934,0.474,297.88
28-Aug-75,0.7939,0.474,297.94
29-Aug-75,0.7948,0.4739,297.97
1-Sep-75,0.7963,0.4746,297.95
2-Sep-75,0.7957,0.4742,297.82
3-Sep-75,0.7936,0.4735,297.7
4-Sep-75,0.7955,0.4744,297.87
5-Sep-75,0.796,0.4742,297.9
8-Sep-75,0.7959,0.4739,297.96
9-Sep-75,0.7952,0.4733,297.97
10-Sep-75,0.7973,0.4739,297.95
11-Sep-75,0.7981,0.4739,298.02
12-Sep-75,0.7994,0.4746,298
15-Sep-75,0.8004,0.4753,298.07
16-Sep-75,0.8054,0.4787,298.07
17-Sep-75,0.8094,0.4805,298.25
18-Sep-75,0.8114,0.481,300.07
19-Sep-75,0.8131,0.4808,301.32
22-Sep-75,0.8191,0.4826,302.7
23-Sep-75,0.8245,0.4892,303.22
24-Sep-75,0.8215,0.4895,303.02
25-Sep-75,0.8174,0.4883,302.65
26-Sep-75,0.8202,0.489,301.8
29-Sep-75,0.8233,0.4912,303
30-Sep-75,0.8168,0.4895,302.7
1-Oct-75,0.809,0.4904,302.45
2-Oct-75,0.8086,0.4904,302.45
3-Oct-75,0.8137,0.4909,302.85
6-Oct-75,0.809,0.4895,303
7-Oct-75,0.8052,0.4897,302.95
8-Oct-75,0.8074,0.4895,303.07
9-Oct-75,0.8053,0.4883,302.97
10-Oct-75,0.7989,0.4859,302.95
13-Oct-75,0.7955,0.4854,302.85
14-Oct-75,0.8033,0.4885,302.6
15-Oct-75,0.7971,0.4864,302.67
16-Oct-75,0.7943,0.4864,302.75
17-Oct-75,0.7958,0.4864,302.8
20-Oct-75,0.7959,0.4854,302.45
21-Oct-75,0.7947,0.4852,300.9
22-Oct-75,0.7916,0.4819,301.5
23-Oct-75,0.7929,0.4836,301.82
24-Oct-75,0.793,0.4833,301.65
27-Oct-75,0.7945,0.4836,301.37
28-Oct-75,0.7954,0.4838,301.55
29-Oct-75,0.7954,0.4836,301.52
30-Oct-75,0.7915,0.4822,301.62
31-Oct-75,0.7914,0.4812,301.7
3-Nov-75,0.7911,0.4822,301.62
4-Nov-75,0.7929,0.4831,302.08
5-Nov-75,0.7958,0.4845,301.75
6-Nov-75,0.7935,0.4833,301.67
7-Nov-75,0.7938,0.4847,301.85
10-Nov-75,0.7942,0.484,302.2
11-Nov-75,0.7955,0.4847,302.35
12-Nov-75,0.7948,0.4845,301.92
13-Nov-75,0.7965,0.4859,302.15
14-Nov-75,0.8009,0.4892,302.5
17-Nov-75,0.8071,0.4916,302.75
18-Nov-75,0.806,0.4909,302.95
19-Nov-75,0.8043,0.49,302.95
20-Nov-75,0.8008,0.4888,302.92
21-Nov-75,0.8042,0.49,303
24-Nov-75,0.8046,0.4904,302.9
25-Nov-75,0.8038,0.4907,303
26-Nov-75,0.8069,0.4921,302.05
27-Nov-75,0.8081,0.4926,303.02
28-Nov-75,0.81,0.495,303.07
1-Dec-75,0.8086,0.495,304.45
2-Dec-75,0.8071,0.4948,304.3
3-Dec-75,0.8077,0.4943,305.05
4-Dec-75,0.807,0.4931,304.95
5-Dec-75,0.808,0.4938,306.65
8-Dec-75,0.8081,0.4946,306.75
9-Dec-75,0.8103,0.4946,306.05
10-Dec-75,0.8098,0.4943,306.01
11-Dec-75,0.81,0.4948,305.85
12-Dec-75,0.8111,0.4955,305.9
15-Dec-75,0.813,0.4958,305.7
16-Dec-75,0.8123,0.4953,305.5
17-Dec-75,0.811,0.4943,305.6
18-Dec-75,0.8094,0.4946,305.8
19-Dec-75,0.8087,0.4958,306
22-Dec-75,0.8081,0.495,306
23-Dec-75,0.8072,0.4946,305.77
24-Dec-75,0.8062,0.4943,305.9
29-Dec-75,0.8094,0.4946,305.2
30-Dec-75,0.8096,0.4941,305.02
31-Dec-75,0.8093,0.4943,305.07
2-Jan-76,0.8093,0.4941,305.05
5-Jan-76,0.8048,0.4921,305.05
6-Jan-76,0.8045,0.4924,304.92
7-Jan-76,0.804,0.4916,304.2
8-Jan-76,0.8045,0.4916,305.65
9-Jan-76,0.806,0.4924,305.92
12-Jan-76,0.8062,0.4921,305.1
13-Jan-76,0.8079,0.4941,305.25
14-Jan-76,0.8063,0.4933,305.3
15-Jan-76,0.8066,0.4933,305.32
16-Jan-76,0.8073,0.4931,305.1
19-Jan-76,0.807,0.4919,304.15
20-Jan-76,0.8084,0.4924,303.7
21-Jan-76,0.8135,0.4943,304.5
22-Jan-76,0.8176,0.495,304.02
23-Jan-76,0.8162,0.4943,303.87
26-Jan-76,0.8152,0.4938,303.65
27-Jan-76,0.8152,0.4938,303.7
28-Jan-76,0.816,0.4929,303.5
29-Jan-76,0.817,0.4931,303.7
30-Jan-76,0.8178,0.4929,303.67
2-Feb-76,0.8148,0.4931,303.2
3-Feb-76,0.8164,0.4931,302.7
4-Feb-76,0.814,0.4924,300.35
5-Feb-76,0.8145,0.4931,301.27
6-Feb-76,0.8155,0.4933,301.4
9-Feb-76,0.8191,0.4931,300.67
10-Feb-76,0.819,0.4936,300.55
11-Feb-76,0.8165,0.4931,300.32
12-Feb-76,0.8176,0.4936,300.27
13-Feb-76,0.8196,0.4938,300.75
16-Feb-76,0.8212,0.4943,301.6
17-Feb-76,0.8236,0.4943,301.55
18-Feb-76,0.8217,0.4941,301.6
19-Feb-76,0.8212,0.4943,301.68
20-Feb-76,0.8236,0.4941,302.12
23-Feb-76,0.8248,0.4941,302.47
24-Feb-76,0.8246,0.4938,302
25-Feb-76,0.8246,0.4936,302
26-Feb-76,0.8237,0.4936,302.16
27-Feb-76,0.8246,0.4938,302.15
1-Mar-76,0.828,0.4941,301.6
2-Mar-76,0.8295,0.4941,301.7
3-Mar-76,0.8289,0.4941,301.53
4-Mar-76,0.8314,0.4963,301.7
5-Mar-76,0.8318,0.5038,301.4
8-Mar-76,0.8309,0.5144,300.6
9-Mar-76,0.8315,0.5152,301.1
10-Mar-76,0.8334,0.5203,301.24
11-Mar-76,0.8358,0.523,300.82
12-Mar-76,0.8366,0.5192,301.1
15-Mar-76,0.842,0.52,300.55
16-Mar-76,0.8463,0.5222,300.5
17-Mar-76,0.847,0.5195,300
18-Mar-76,0.8454,0.5195,299.75
19-Mar-76,0.8426,0.5206,299.67
22-Mar-76,0.8414,0.5206,299.8
23-Mar-76,0.8424,0.5195,299.7
24-Mar-76,0.8419,0.5189,299.7
25-Mar-76,0.8415,0.52,299.57
26-Mar-76,0.843,0.5206,299.55
29-Mar-76,0.8433,0.5219,299.7
30-Mar-76,0.84,0.5219,299.77
31-Mar-76,0.8399,0.5222,299.5
1-Apr-76,0.8384,0.5299,299.4
2-Apr-76,0.8425,0.535,299.17
5-Apr-76,0.8418,0.5356,299.25
6-Apr-76,0.842,0.5382,299.02
7-Apr-76,0.8438,0.5353,298.8
8-Apr-76,0.8429,0.542,297.3
9-Apr-76,0.8454,0.5444,297.77
12-Apr-76,0.8493,0.5432,298.62
13-Apr-76,0.8481,0.5402,298.37
14-Apr-76,0.8441,0.5385,298.59
15-Apr-76,0.8452,0.5394,298.32
20-Apr-76,0.8446,0.5411,299.35
21-Apr-76,0.8452,0.5432,299.5
22-Apr-76,0.8467,0.5473,299.7
23-Apr-76,0.8473,0.5482,299.71
26-Apr-76,0.8471,0.5498,299.77
27-Apr-76,0.8474,0.5482,299.3
28-Apr-76,0.8471,0.5459,299.22
29-Apr-76,0.8468,0.5429,299.25
30-Apr-76,0.8476,0.5432,299
3-May-76,0.8476,0.547,298.87
4-May-76,0.85,0.5476,297.77
5-May-76,0.8506,0.547,297.97
6-May-76,0.8447,0.5488,298.05
7-May-76,0.8422,0.5482,298.47
10-May-76,0.8398,0.5464,298.4
11-May-76,0.8422,0.5456,298.35
12-May-76,0.8447,0.5438,298.75
13-May-76,0.8447,0.547,298.9
14-May-76,0.8464,0.5507,298.65
17-May-76,0.852,0.5546,298.4
18-May-76,0.8507,0.5525,298.1
19-May-76,0.8488,0.5531,299.2
20-May-76,0.8488,0.5534,299.3
21-May-76,0.8515,0.5618,299.5
24-May-76,0.8497,0.5596,299.52
25-May-76,0.8504,0.5593,299.45
26-May-76,0.8528,0.565,299.65
27-May-76,0.8509,0.5647,299.6
28-May-76,0.8533,0.5685,299.95
1-Jun-76,0.8551,0.5705,300.35
2-Jun-76,0.8527,0.5804,300.3
3-Jun-76,0.8534,0.5848,300.31
4-Jun-76,0.8538,0.5824,300.35
7-Jun-76,0.8521,0.5698,300.3
8-Jun-76,0.8517,0.565,300
9-Jun-76,0.8511,0.5637,299.85
10-Jun-76,0.8532,0.565,299.95
11-Jun-76,0.8526,0.565,299.85
14-Jun-76,0.8523,0.564,299.82
15-Jun-76,0.8521,0.5627,299.7
16-Jun-76,0.8523,0.5627,299.8
17-Jun-76,0.8523,0.5637,299.95
18-Jun-76,0.8531,0.5637,299.2
21-Jun-76,0.854,0.5634,299.22
22-Jun-76,0.853,0.564,299.15
23-Jun-76,0.8523,0.5643,297.05
24-Jun-76,0.8507,0.5647,297.15
25-Jun-76,0.8523,0.5647,297.56
28-Jun-76,0.8521,0.5637,295.98
29-Jun-76,0.8505,0.5621,296.82
30-Jun-76,0.8506,0.5605,298.02
1-Jul-76,0.8509,0.5583,297.1
2-Jul-76,0.8509,0.5577,297.06
5-Jul-76,0.8506,0.5568,296.25
6-Jul-76,0.8512,0.5546,296.45
7-Jul-76,0.8511,0.5549,296.47
8-Jul-76,0.8512,0.5577,296.3
9-Jul-76,0.8523,0.5624,296.6
12-Jul-76,0.853,0.5593,296.07
13-Jul-76,0.8528,0.559,294.9
14-Jul-76,0.8515,0.5612,292.65
15-Jul-76,0.8531,0.5615,293
16-Jul-76,0.8558,0.5634,294
19-Jul-76,0.8572,0.5634,293.67
20-Jul-76,0.8564,0.5615,293.35
21-Jul-76,0.8563,0.5609,293.72
22-Jul-76,0.8568,0.5602,293.57
23-Jul-76,0.8573,0.5615,293.89
26-Jul-76,0.8577,0.5627,293.5
27-Jul-76,0.8562,0.5612,293.87
28-Jul-76,0.8545,0.5583,293.42
29-Jul-76,0.8526,0.5605,293.5
30-Jul-76,0.8512,0.5605,293.25
2-Aug-76,0.8495,0.5593,292.85
3-Aug-76,0.8509,0.5593,292.95
4-Aug-76,0.8494,0.5574,292.6
5-Aug-76,0.8517,0.5593,293.02
6-Aug-76,0.8524,0.559,292.95
9-Aug-76,0.8525,0.559,292.7
10-Aug-76,0.8528,0.5587,292.7
11-Aug-76,0.8523,0.559,292.6
12-Aug-76,0.8533,0.5599,292.57
13-Aug-76,0.8529,0.5618,291.52
16-Aug-76,0.8515,0.5618,290.15
17-Aug-76,0.8467,0.5593,287.65
18-Aug-76,0.8471,0.5602,288.27
19-Aug-76,0.8482,0.5612,288.55
20-Aug-76,0.8497,0.5615,289.5
23-Aug-76,0.8479,0.5612,289.95
24-Aug-76,0.8472,0.5631,288.4
25-Aug-76,0.8487,0.565,288.85
26-Aug-76,0.8467,0.5643,288.87
27-Aug-76,0.8478,0.565,288.55
31-Aug-76,0.8477,0.5631,289.4
1-Sep-76,0.8457,0.5637,288.7
2-Sep-76,0.8463,0.564,288.55
3-Sep-76,0.8466,0.5643,287.87
6-Sep-76,0.8467,0.5643,287.85
7-Sep-76,0.8462,0.5647,287.75
8-Sep-76,0.8456,0.5647,287.45
9-Sep-76,0.8443,0.5721,285.9
10-Sep-76,0.8447,0.5705,286.95
13-Sep-76,0.8442,0.5721,286.6
14-Sep-76,0.8428,0.575,286.5
15-Sep-76,0.8384,0.577,286.15
16-Sep-76,0.8385,0.5741,286.9
17-Sep-76,0.8383,0.5767,287.15
20-Sep-76,0.8383,0.5821,287.2
21-Sep-76,0.8385,0.5821,288.07
22-Sep-76,0.8367,0.5828,287.05
23-Sep-76,0.8396,0.5845,287.7
24-Sep-76,0.8386,0.5862,287.85
27-Sep-76,0.8374,0.5931,287.5
28-Sep-76,0.8372,0.6002,287.5
29-Sep-76,0.8362,0.6006,287.47
30-Sep-76,0.8345,0.5995,286.75
1-Oct-76,0.838,0.602,287.05
4-Oct-76,0.8358,0.5974,287.1
5-Oct-76,0.8321,0.601,287.45
6-Oct-76,0.8303,0.6072,287.9
7-Oct-76,0.8324,0.5995,288.02
8-Oct-76,0.8328,0.601,288.7
11-Oct-76,0.8339,0.6028,289.7
12-Oct-76,0.8334,0.6046,289.87
13-Oct-76,0.8333,0.6046,290.47
14-Oct-76,0.833,0.6098,292.35
15-Oct-76,0.8354,0.6057,292.92
18-Oct-76,0.8404,0.6046,292.7
19-Oct-76,0.8373,0.6061,292.15
20-Oct-76,0.8335,0.6075,292
21-Oct-76,0.8351,0.6072,292.75
22-Oct-76,0.835,0.6068,293.67
25-Oct-76,0.8313,0.6274,293.22
26-Oct-76,0.833,0.6234,293.7
27-Oct-76,0.8307,0.6321,293.17
28-Oct-76,0.83,0.6382,293.6
29-Oct-76,0.8306,0.6305,294.32
1-Nov-76,0.8315,0.6305,295.67
2-Nov-76,0.8319,0.6281,295.37
3-Nov-76,0.8306,0.6246,295.1
4-Nov-76,0.8334,0.6116,295.35
5-Nov-76,0.834,0.612,294.75
8-Nov-76,0.8328,0.6188,293.57
9-Nov-76,0.8335,0.6146,294.07
10-Nov-76,0.8329,0.6124,294.42
11-Nov-76,0.8326,0.6154,294.75
12-Nov-76,0.8326,0.6158,294.65
15-Nov-76,0.8335,0.6094,294.7
16-Nov-76,0.8334,0.6086,295.05
17-Nov-76,0.8337,0.6042,295
18-Nov-76,0.8344,0.6017,295.1
19-Nov-76,0.8336,0.5945,295.45
22-Nov-76,0.8296,0.6072,295.2
23-Nov-76,0.8294,0.6046,295.45
24-Nov-76,0.8302,0.6072,295.47
25-Nov-76,0.8302,0.6075,295.3
26-Nov-76,0.8307,0.6064,295.37
29-Nov-76,0.8302,0.6072,295.63
30-Nov-76,0.8308,0.605,296.95
1-Dec-76,0.8321,0.6017,296.95
2-Dec-76,0.8321,0.601,296.8
3-Dec-76,0.8308,0.6017,297.85
6-Dec-76,0.8285,0.6031,296.57
7-Dec-76,0.8294,0.5977,296.27
8-Dec-76,0.8291,0.5981,296.35
9-Dec-76,0.8286,0.5984,295.85
10-Dec-76,0.8284,0.5984,294.67
13-Dec-76,0.8286,0.5949,294.65
14-Dec-76,0.8279,0.5963,295.3
15-Dec-76,0.8281,0.5949,294.75
16-Dec-76,0.8266,0.601,295.37
17-Dec-76,0.8263,0.5988,294.7
20-Dec-76,0.8231,0.5945,293.55
21-Dec-76,0.8229,0.5942,293.82
22-Dec-76,0.8225,0.5935,293.65
23-Dec-76,0.8233,0.5938,293.45
24-Dec-76,0.8238,0.5924,293.4
29-Dec-76,0.8208,0.5865,293
30-Dec-76,0.8214,0.5882,292.82
31-Dec-76,0.8216,0.5875,293.25
4-Jan-77,0.8177,0.5852,291.7
5-Jan-77,0.8188,0.5843,292.2
6-Jan-77,0.8202,0.5861,292.75
7-Jan-77,0.8232,0.5862,292.9
10-Jan-77,0.8289,0.5853,292.45
11-Jan-77,0.8273,0.5862,292.45
12-Jan-77,0.8269,0.5857,292.32
13-Jan-77,0.83,0.5847,292.55
14-Jan-77,0.8312,0.5844,291.95
17-Jan-77,0.8315,0.5834,291.62
18-Jan-77,0.8328,0.5829,291.1
19-Jan-77,0.8342,0.5819,289.02
20-Jan-77,0.833,0.5824,290.38
21-Jan-77,0.8325,0.5828,290.42
24-Jan-77,0.8356,0.5818,289.95
25-Jan-77,0.8381,0.5816,289.25
26-Jan-77,0.8375,0.5817,288.15
27-Jan-77,0.8372,0.5822,289.2
28-Jan-77,0.8365,0.5834,289.3
31-Jan-77,0.8344,0.5831,288.4
1-Feb-77,0.8349,0.5829,287.95
2-Feb-77,0.8359,0.5826,288.12
3-Feb-77,0.8362,0.5833,288.27
4-Feb-77,0.8363,0.5832,288.1
7-Feb-77,0.835,0.5832,287.93
8-Feb-77,0.8348,0.583,286.8
9-Feb-77,0.8337,0.5824,285.77
10-Feb-77,0.8338,0.5826,285.53
11-Feb-77,0.8335,0.5839,284.97
14-Feb-77,0.831,0.5879,281.52
15-Feb-77,0.8324,0.5872,284.72
16-Feb-77,0.8325,0.5859,284.17
17-Feb-77,0.8325,0.5864,283.03
18-Feb-77,0.8321,0.5866,283.3
21-Feb-77,0.8314,0.5865,282.7
22-Feb-77,0.8319,0.5854,283.35
23-Feb-77,0.832,0.5854,283.42
24-Feb-77,0.8336,0.5855,283.3
25-Feb-77,0.8316,0.5852,281.95
28-Feb-77,0.8311,0.5838,282.82
1-Mar-77,0.8328,0.5838,282.5
2-Mar-77,0.8324,0.5833,281.75
3-Mar-77,0.832,0.5833,281.31
4-Mar-77,0.8324,0.5834,281.85
7-Mar-77,0.8331,0.5824,281.95
8-Mar-77,0.8333,0.5822,281.9
9-Mar-77,0.834,0.582,282.25
10-Mar-77,0.8342,0.5828,281.95
11-Mar-77,0.8342,0.5821,281.88
14-Mar-77,0.8342,0.5816,281.22
15-Mar-77,0.834,0.5817,281.52
16-Mar-77,0.8333,0.5815,281.75
17-Mar-77,0.833,0.5818,281.65
18-Mar-77,0.8329,0.5824,280.9
21-Mar-77,0.8327,0.5823,279.1
22-Mar-77,0.8325,0.5825,279.08
23-Mar-77,0.8321,0.5821,277.07
24-Mar-77,0.8324,0.5821,278.5
25-Mar-77,0.8327,0.5822,278.5
28-Mar-77,0.8321,0.5818,276.82
29-Mar-77,0.8322,0.5816,276.47
30-Mar-77,0.8322,0.5812,277.15
31-Mar-77,0.8323,0.5814,277.47
1-Apr-77,0.8327,0.5816,275.97
4-Apr-77,0.8325,0.5814,274.37
5-Apr-77,0.8325,0.5814,273.12
6-Apr-77,0.8325,0.5816,273.32
7-Apr-77,0.8321,0.5818,273.45
12-Apr-77,0.8305,0.5816,270.47
13-Apr-77,0.8283,0.5815,272.62
14-Apr-77,0.8292,0.5821,273.47
15-Apr-77,0.829,0.5821,274.12
18-Apr-77,0.8282,0.5816,275.07
19-Apr-77,0.828,0.5817,276.07
20-Apr-77,0.8295,0.5816,278
21-Apr-77,0.8292,0.5816,276.72
22-Apr-77,0.8292,0.5819,277.17
25-Apr-77,0.828,0.5817,278.05
26-Apr-77,0.8285,0.5817,278.3
27-Apr-77,0.8269,0.5814,277.9
28-Apr-77,0.826,0.5816,276.97
29-Apr-77,0.8252,0.5816,277.85
2-May-77,0.8255,0.5815,278
3-May-77,0.8271,0.5816,278.12
4-May-77,0.824,0.5814,276.6
5-May-77,0.8243,0.5818,275.77
6-May-77,0.825,0.582,276.82
9-May-77,0.8266,0.5818,278
10-May-77,0.8271,0.5817,277.2
11-May-77,0.8292,0.5815,277.93
12-May-77,0.8287,0.5817,278.42
13-May-77,0.8271,0.5817,277.4
16-May-77,0.8274,0.5817,277.6
17-May-77,0.8265,0.5818,277.42
18-May-77,0.8259,0.5819,277.47
19-May-77,0.8258,0.5821,276.9
20-May-77,0.8266,0.5822,277.2
23-May-77,0.8272,0.5823,277.45
24-May-77,0.8269,0.5825,277.77
25-May-77,0.8258,0.5819,277.35
26-May-77,0.8255,0.5823,277.1
27-May-77,0.8264,0.5824,277.2
31-May-77,0.826,0.5818,277.25
1-Jun-77,0.8261,0.5816,277.23
2-Jun-77,0.8254,0.5822,276.58
3-Jun-77,0.826,0.5821,276.3
6-Jun-77,0.826,0.5821,276.3
8-Jun-77,0.8265,0.5819,274.35
9-Jun-77,0.8265,0.5819,274.68
10-Jun-77,0.8266,0.5818,273.65
13-Jun-77,0.8264,0.5816,271.65
14-Jun-77,0.8263,0.5817,272.3
15-Jun-77,0.8263,0.5815,272.8
16-Jun-77,0.8263,0.5816,272.3
17-Jun-77,0.827,0.5816,272.75
20-Jun-77,0.8274,0.5815,272.72
21-Jun-77,0.8272,0.5816,272.45
22-Jun-77,0.8272,0.5815,271.7
23-Jun-77,0.8268,0.5815,271.8
24-Jun-77,0.8271,0.5815,271.93
27-Jun-77,0.8268,0.5814,271.45
28-Jun-77,0.8267,0.5813,270.75
29-Jun-77,0.8234,0.5811,267.25
30-Jun-77,0.8235,0.5813,267.5
1-Jul-77,0.8234,0.5815,267.32
4-Jul-77,0.8184,0.5813,265
5-Jul-77,0.8174,0.5813,264.77
6-Jul-77,0.8182,0.5812,265.5
7-Jul-77,0.816,0.5814,264.57
8-Jul-77,0.8165,0.5815,264.62
11-Jul-77,0.8121,0.5814,263.22
12-Jul-77,0.8254,0.5814,264.05
13-Jul-77,0.8236,0.5812,264.22
14-Jul-77,0.8253,0.5815,264.67
