"Date","Spot exchange rate, Japanese Yen into US $                          XUDLJYD"
"28 Dec 17","112.88"
"27 Dec 17","113.3"
"22 Dec 17","113.37"
"21 Dec 17","113.47"
"20 Dec 17","113.3"
"19 Dec 17","112.99"
"18 Dec 17","112.37"
"15 Dec 17","112.65"
"14 Dec 17","112.62"
"13 Dec 17","113.05"
"12 Dec 17","113.68"
"11 Dec 17","113.37"
"08 Dec 17","113.52"
"07 Dec 17","112.74"
"06 Dec 17","112.26"
"05 Dec 17","112.78"
"04 Dec 17","112.73"
"01 Dec 17","112.8"
"30 Nov 17","111.91"
"29 Nov 17","111.92"
"28 Nov 17","111.31"
"27 Nov 17","111.04"
"24 Nov 17","111.51"
"23 Nov 17","111.24"
"22 Nov 17","111.63"
"21 Nov 17","112.47"
"20 Nov 17","112.41"
"17 Nov 17","112.24"
"16 Nov 17","112.8"
"15 Nov 17","113.08"
"14 Nov 17","113.46"
"13 Nov 17","113.51"
"10 Nov 17","113.32"
"09 Nov 17","113.69"
"08 Nov 17","113.64"
"07 Nov 17","114.03"
"06 Nov 17","114.13"
"03 Nov 17","114.26"
"02 Nov 17","113.87"
"01 Nov 17","114.05"
"31 Oct 17","113.63"
"30 Oct 17","113.25"
"27 Oct 17","113.86"
"26 Oct 17","113.95"
"25 Oct 17","113.67"
"24 Oct 17","113.95"
"23 Oct 17","113.69"
"20 Oct 17","113.43"
"19 Oct 17","112.52"
"18 Oct 17","112.97"
"17 Oct 17","112.34"
"16 Oct 17","111.74"
"13 Oct 17","111.93"
"12 Oct 17","112.3"
"11 Oct 17","112.27"
"10 Oct 17","112.02"
"09 Oct 17","112.68"
"06 Oct 17","112.79"
"05 Oct 17","112.64"
"04 Oct 17","112.73"
"03 Oct 17","112.77"
"02 Oct 17","112.72"
"29 Sep 17","112.56"
"28 Sep 17","112.74"
"27 Sep 17","112.6"
"26 Sep 17","112.28"
"25 Sep 17","111.83"
"22 Sep 17","111.94"
"21 Sep 17","112.45"
"20 Sep 17","111.43"
"19 Sep 17","111.48"
"18 Sep 17","111.57"
"15 Sep 17","111.05"
"14 Sep 17","110.71"
"13 Sep 17","110.6"
"12 Sep 17","109.92"
"11 Sep 17","108.89"
"08 Sep 17","107.92"
"07 Sep 17","108.42"
"06 Sep 17","108.81"
"05 Sep 17","108.87"
"04 Sep 17","109.53"
"01 Sep 17","110.2"
"31 Aug 17","110.1"
"30 Aug 17","110.26"
"29 Aug 17","108.74"
"25 Aug 17","109.26"
"24 Aug 17","109.34"
"23 Aug 17","109.02"
"22 Aug 17","109.45"
"21 Aug 17","108.77"
"18 Aug 17","108.79"
"17 Aug 17","109.89"
"16 Aug 17","110.81"
"15 Aug 17","110.56"
"14 Aug 17","109.47"
"11 Aug 17","109.14"
"10 Aug 17","109.33"
"09 Aug 17","109.97"
"08 Aug 17","110.76"
"07 Aug 17","110.83"
"04 Aug 17","110.9"
"03 Aug 17","110.05"
"02 Aug 17","110.37"
"01 Aug 17","110.15"
"31 Jul 17","110.51"
"28 Jul 17","110.94"
"27 Jul 17","111.6"
"26 Jul 17","112"
"25 Jul 17","111.63"
"24 Jul 17","111.1"
"21 Jul 17","111.12"
"20 Jul 17","111.75"
"19 Jul 17","111.7"
"18 Jul 17","111.815"
"17 Jul 17","112.8"
"14 Jul 17","112.61"
"13 Jul 17","113.42"
"12 Jul 17","113.04"
"11 Jul 17","114.47"
"10 Jul 17","114.2"
"07 Jul 17","113.98"
"06 Jul 17","113.155"
"05 Jul 17","113.28"
"04 Jul 17","113.14"
"03 Jul 17","113.3"
"30 Jun 17","112.38"
"29 Jun 17","112.62"
"28 Jun 17","112.14"
"27 Jun 17","112.21"
"26 Jun 17","111.44"
"23 Jun 17","111.27"
"22 Jun 17","111.36"
"21 Jun 17","111.57"
"20 Jun 17","111.67"
"19 Jun 17","111.28"
"16 Jun 17","110.68"
"15 Jun 17","110.62"
"14 Jun 17","108.93"
"13 Jun 17","109.96"
"12 Jun 17","109.82"
"09 Jun 17","110.68"
"08 Jun 17","110.12"
"07 Jun 17","109.33"
"06 Jun 17","109.4"
"05 Jun 17","110.46"
"02 Jun 17","110.47"
"01 Jun 17","111.24"
"31 May 17","110.55"
"30 May 17","110.97"
"26 May 17","111.24"
"25 May 17","111.87"
"24 May 17","112.05"
"23 May 17","111.1"
"22 May 17","111.06"
"19 May 17","111.54"
"18 May 17","111.08"
"17 May 17","111.28"
"16 May 17","113.01"
"15 May 17","113.62"
"12 May 17","113.26"
"11 May 17","113.73"
"10 May 17","114.03"
"09 May 17","114.1"
"08 May 17","112.76"
"05 May 17","112.64"
"04 May 17","112.73"
"03 May 17","112.35"
"02 May 17","112.14"
"28 Apr 17","111.46"
"27 Apr 17","111.21"
"26 Apr 17","111.6"
"25 Apr 17","110.89"
"24 Apr 17","109.9"
"21 Apr 17","109.11"
"20 Apr 17","109.19"
"19 Apr 17","108.97"
"18 Apr 17","108.72"
"13 Apr 17","109.21"
"12 Apr 17","109.51"
"11 Apr 17","109.75"
"10 Apr 17","111.15"
"07 Apr 17","110.73"
"06 Apr 17","110.85"
"05 Apr 17","111.17"
"04 Apr 17","110.53"
"03 Apr 17","111"
"31 Mar 17","111.42"
"30 Mar 17","111.32"
"29 Mar 17","111.02"
"28 Mar 17","110.26"
"27 Mar 17","110.45"
"24 Mar 17","111.05"
"23 Mar 17","111.12"
"22 Mar 17","111.05"
"21 Mar 17","111.9"
"20 Mar 17","112.61"
"17 Mar 17","112.67"
"16 Mar 17","113.01"
"15 Mar 17","114.66"
"14 Mar 17","114.63"
"13 Mar 17","114.62"
"10 Mar 17","114.97"
"09 Mar 17","114.87"
"08 Mar 17","114.69"
"07 Mar 17","114"
"06 Mar 17","113.77"
"03 Mar 17","114.48"
"02 Mar 17","114.43"
"01 Mar 17","113.9"
"28 Feb 17","111.9"
"27 Feb 17","112.08"
"24 Feb 17","112.36"
"23 Feb 17","112.59"
"22 Feb 17","113.35"
"21 Feb 17","113.65"
"20 Feb 17","113.12"
"17 Feb 17","112.83"
"16 Feb 17","113.32"
"15 Feb 17","114.66"
"14 Feb 17","114.42"
"13 Feb 17","113.92"
"10 Feb 17","113.58"
"09 Feb 17","113"
"08 Feb 17","111.76"
"07 Feb 17","112.24"
"06 Feb 17","112.37"
"03 Feb 17","112.4"
"02 Feb 17","112.39"
"01 Feb 17","113.49"
"31 Jan 17","112.58"
"30 Jan 17","113.85"
"27 Jan 17","115.07"
"26 Jan 17","114.74"
"25 Jan 17","113.66"
"24 Jan 17","113.31"
"23 Jan 17","112.97"
"20 Jan 17","115.04"
"19 Jan 17","115.31"
"18 Jan 17","113.24"
"17 Jan 17","113.02"
"16 Jan 17","114.1"
"13 Jan 17","115"
"12 Jan 17","114.04"
"11 Jan 17","116.58"
"10 Jan 17","115.44"
"09 Jan 17","116.49"
"06 Jan 17","116.49"
"05 Jan 17","115.5"
"04 Jan 17","117.19"
"03 Jan 17","118.02"
"30 Dec 16","116.94"
"29 Dec 16","116.42"
"28 Dec 16","117.65"
"23 Dec 16","117.36"
"22 Dec 16","117.5"
"21 Dec 16","117.73"
"20 Dec 16","118.08"
"19 Dec 16","116.93"
"16 Dec 16","118.38"
"15 Dec 16","118.58"
"14 Dec 16","115.1"
"13 Dec 16","115.31"
"12 Dec 16","115.43"
"09 Dec 16","115.19"
"08 Dec 16","114.22"
"07 Dec 16","113.52"
"06 Dec 16","113.99"
"05 Dec 16","114.4"
"02 Dec 16","113.82"
"01 Dec 16","114.41"
"30 Nov 16","113.95"
"29 Nov 16","112.94"
"28 Nov 16","112.27"
"25 Nov 16","113.03"
"24 Nov 16","113.24"
"23 Nov 16","112.98"
"22 Nov 16","111.31"
"21 Nov 16","110.94"
"18 Nov 16","110.66"
"17 Nov 16","109.4"
"16 Nov 16","109.6"
"15 Nov 16","108.98"
"14 Nov 16","108.48"
"11 Nov 16","106.61"
"10 Nov 16","106.46"
"09 Nov 16","104.55"
"08 Nov 16","104.77"
"07 Nov 16","104.56"
"04 Nov 16","103.02"
"03 Nov 16","103.16"
"02 Nov 16","103.23"
"01 Nov 16","104.58"
"31 Oct 16","105.07"
"28 Oct 16","105.4"
"27 Oct 16","105.03"
"26 Oct 16","104.45"
"25 Oct 16","104.63"
"24 Oct 16","104.27"
"21 Oct 16","103.82"
"20 Oct 16","104.01"
"19 Oct 16","103.27"
"18 Oct 16","103.93"
"17 Oct 16","104.03"
"14 Oct 16","104.34"
"13 Oct 16","103.41"
"12 Oct 16","104.06"
"11 Oct 16","103.62"
"10 Oct 16","103.58"
"07 Oct 16","103.11"
"06 Oct 16","103.92"
"05 Oct 16","103.54"
"04 Oct 16","102.87"
"03 Oct 16","101.62"
"30 Sep 16","101.26"
"29 Sep 16","101.63"
"28 Sep 16","100.68"
"27 Sep 16","100.33"
"26 Sep 16","100.41"
"23 Sep 16","100.96"
"22 Sep 16","100.81"
"21 Sep 16","100.66"
"20 Sep 16","101.7"
"19 Sep 16","101.78"
"16 Sep 16","102.26"
"15 Sep 16","102.4"
"14 Sep 16","102.63"
"13 Sep 16","102.18"
"12 Sep 16","101.94"
"09 Sep 16","102.72"
"08 Sep 16","101.66"
"07 Sep 16","101.64"
"06 Sep 16","102.24"
"05 Sep 16","103.41"
"02 Sep 16","104.16"
"01 Sep 16","103.25"
"31 Aug 16","103.5"
"30 Aug 16","102.79"
"26 Aug 16","100.51"
"25 Aug 16","100.55"
"24 Aug 16","100.58"
"23 Aug 16","100.15"
"22 Aug 16","100.31"
"19 Aug 16","100.16"
"18 Aug 16","100.14"
"17 Aug 16","100.26"
"16 Aug 16","100.46"
"15 Aug 16","101.03"
"12 Aug 16","100.93"
"11 Aug 16","101.34"
"10 Aug 16","101.26"
"09 Aug 16","101.9"
"08 Aug 16","102.52"
"05 Aug 16","101.87"
"04 Aug 16","101.09"
"03 Aug 16","101.27"
"02 Aug 16","100.99"
"01 Aug 16","102.37"
"29 Jul 16","102.48"
"28 Jul 16","104.82"
"27 Jul 16","105.63"
"26 Jul 16","104.63"
"25 Jul 16","106.08"
"22 Jul 16","106.27"
"21 Jul 16","106.35"
"20 Jul 16","106.74"
"19 Jul 16","106.39"
"18 Jul 16","105.87"
"15 Jul 16","105.82"
"14 Jul 16","105.37"
"13 Jul 16","104.31"
"12 Jul 16","104.55"
"11 Jul 16","102.62"
"08 Jul 16","100.55"
"07 Jul 16","100.78"
"06 Jul 16","100.82"
"05 Jul 16","101.55"
"04 Jul 16","102.53"
"01 Jul 16","102.67"
"30 Jun 16","102.64"
"29 Jun 16","102.61"
"28 Jun 16","102.79"
"27 Jun 16","101.68"
"24 Jun 16","102.09"
"23 Jun 16","105.71"
"22 Jun 16","104.69"
"21 Jun 16","104.53"
"20 Jun 16","104.41"
"17 Jun 16","104.29"
"16 Jun 16","103.92"
"15 Jun 16","105.85"
"14 Jun 16","105.93"
"13 Jun 16","106.31"
"10 Jun 16","106.89"
"09 Jun 16","106.47"
"08 Jun 16","106.62"
"07 Jun 16","107.22"
"06 Jun 16","107.25"
"03 Jun 16","106.76"
"02 Jun 16","108.56"
"01 Jun 16","109.43"
"31 May 16","110.93"
"27 May 16","109.86"
"26 May 16","109.67"
"25 May 16","110.27"
"24 May 16","109.87"
"23 May 16","109.45"
"20 May 16","110.46"
"19 May 16","109.9"
"18 May 16","109.6"
"17 May 16","108.94"
"16 May 16","108.82"
"13 May 16","109.09"
"12 May 16","108.71"
"11 May 16","108.64"
"10 May 16","109.08"
"09 May 16","108.34"
"06 May 16","106.66"
"05 May 16","107.4"
"04 May 16","106.89"
"03 May 16","106.2"
"29 Apr 16","107.01"
"28 Apr 16","108.56"
"27 Apr 16","111.27"
"26 Apr 16","111.16"
"25 Apr 16","110.93"
"22 Apr 16","111.48"
"21 Apr 16","109.47"
"20 Apr 16","109.25"
"19 Apr 16","109.31"
"18 Apr 16","108.71"
"15 Apr 16","108.74"
"14 Apr 16","109.2"
"13 Apr 16","109.26"
"12 Apr 16","108.59"
"11 Apr 16","107.83"
"08 Apr 16","108.4"
"07 Apr 16","107.91"
"06 Apr 16","109.97"
"05 Apr 16","110.47"
"04 Apr 16","111.24"
"01 Apr 16","112.39"
"31 Mar 16","112.39"
"30 Mar 16","112.44"
"29 Mar 16","113.4"
"24 Mar 16","112.64"
"23 Mar 16","112.63"
"22 Mar 16","111.81"
"21 Mar 16","111.63"
"18 Mar 16","111.39"
"17 Mar 16","111.3"
"16 Mar 16","113.7"
"15 Mar 16","112.87"
"14 Mar 16","113.6"
"11 Mar 16","113.51"
"10 Mar 16","113.38"
"09 Mar 16","112.9"
"08 Mar 16","112.44"
"07 Mar 16","113.52"
"04 Mar 16","113.8"
"03 Mar 16","113.59"
"02 Mar 16","113.92"
"01 Mar 16","113.59"
"29 Feb 16","112.89"
"26 Feb 16","113.92"
"25 Feb 16","112.68"
"24 Feb 16","111.09"
"23 Feb 16","112.07"
"22 Feb 16","112.99"
"19 Feb 16","112.78"
"18 Feb 16","113.64"
"17 Feb 16","114.27"
"16 Feb 16","113.82"
"15 Feb 16","114.49"
"12 Feb 16","112.71"
"11 Feb 16","111.88"
"10 Feb 16","114.42"
"09 Feb 16","114.68"
"08 Feb 16","115.57"
"05 Feb 16","117"
"04 Feb 16","117.14"
"03 Feb 16","117.97"
"02 Feb 16","120.25"
"01 Feb 16","121.04"
"29 Jan 16","121.07"
"28 Jan 16","118.67"
"27 Jan 16","118.75"
"26 Jan 16","118.43"
"25 Jan 16","118.6"
"22 Jan 16","118.52"
"21 Jan 16","117.29"
"20 Jan 16","116.21"
"19 Jan 16","117.81"
"18 Jan 16","117.4"
"15 Jan 16","116.9"
"14 Jan 16","118.07"
"13 Jan 16","118.34"
"12 Jan 16","117.96"
"11 Jan 16","117.37"
"08 Jan 16","117.69"
"07 Jan 16","118.08"
"06 Jan 16","118.65"
"05 Jan 16","119.15"
"04 Jan 16","119.3"
"31 Dec 15","120.39"
"30 Dec 15","120.56"
"29 Dec 15","120.48"
"24 Dec 15","120.37"
"23 Dec 15","120.98"
"22 Dec 15","120.9"
"21 Dec 15","121.1"
"18 Dec 15","121.51"
"17 Dec 15","122.68"
"16 Dec 15","121.8"
"15 Dec 15","121.73"
"14 Dec 15","120.73"
"11 Dec 15","120.99"
"10 Dec 15","121.52"
"09 Dec 15","122.09"
"08 Dec 15","122.93"
"07 Dec 15","123.27"
"04 Dec 15","123.12"
"03 Dec 15","123.18"
"02 Dec 15","123.47"
"01 Dec 15","122.87"
"30 Nov 15","123.29"
"27 Nov 15","122.77"
"26 Nov 15","122.56"
"25 Nov 15","122.86"
"24 Nov 15","122.46"
"23 Nov 15","122.96"
"20 Nov 15","122.8"
"19 Nov 15","122.84"
"18 Nov 15","123.6"
"17 Nov 15","123.45"
"16 Nov 15","123.08"
"13 Nov 15","122.8"
"12 Nov 15","122.93"
"11 Nov 15","122.92"
"10 Nov 15","123.26"
"09 Nov 15","123.3"
"06 Nov 15","123.17"
"05 Nov 15","121.57"
"04 Nov 15","121.6"
"03 Nov 15","121.16"
"02 Nov 15","120.66"
"30 Oct 15","120.72"
"29 Oct 15","121.15"
"28 Oct 15","120.58"
"27 Oct 15","120.28"
"26 Oct 15","120.87"
"23 Oct 15","121.14"
"22 Oct 15","120.36"
"21 Oct 15","119.96"
"20 Oct 15","119.92"
"19 Oct 15","119.48"
"16 Oct 15","119.2"
"15 Oct 15","118.53"
"14 Oct 15","119.25"
"13 Oct 15","119.86"
"12 Oct 15","119.94"
"09 Oct 15","120.32"
"08 Oct 15","119.85"
"07 Oct 15","120.02"
"06 Oct 15","120.17"
"05 Oct 15","120.28"
"02 Oct 15","119.22"
"01 Oct 15","119.63"
"30 Sep 15","119.78"
"29 Sep 15","119.93"
"28 Sep 15","119.89"
"25 Sep 15","120.81"
"24 Sep 15","119.3"
"23 Sep 15","120.52"
"22 Sep 15","120.03"
"21 Sep 15","120.52"
"18 Sep 15","119.94"
"17 Sep 15","120.9"
"16 Sep 15","120.49"
"15 Sep 15","120.15"
"14 Sep 15","120.09"
"11 Sep 15","120.6"
"10 Sep 15","120.83"
"09 Sep 15","120.96"
"08 Sep 15","119.76"
"07 Sep 15","119.34"
"04 Sep 15","119.17"
"03 Sep 15","120.28"
"02 Sep 15","120.2"
"01 Sep 15","119.9"
"28 Aug 15","121"
"27 Aug 15","120.72"
"26 Aug 15","119.13"
"25 Aug 15","119.92"
"24 Aug 15","118.77"
"21 Aug 15","122.45"
"20 Aug 15","123.62"
"19 Aug 15","124.28"
"18 Aug 15","124.43"
"17 Aug 15","124.37"
"14 Aug 15","124.3"
"13 Aug 15","124.43"
"12 Aug 15","123.85"
"11 Aug 15","124.85"
"10 Aug 15","124.52"
"07 Aug 15","124.31"
"06 Aug 15","124.71"
"05 Aug 15","125.01"
"04 Aug 15","123.93"
"03 Aug 15","123.95"
"31 Jul 15","123.89"
"30 Jul 15","124.33"
"29 Jul 15","123.79"
"28 Jul 15","123.61"
"27 Jul 15","123.1"
"24 Jul 15","123.7"
"23 Jul 15","124.02"
"22 Jul 15","124.05"
"21 Jul 15","123.84"
"20 Jul 15","124.25"
"17 Jul 15","123.97"
"16 Jul 15","124.03"
"15 Jul 15","123.93"
"14 Jul 15","123.43"
"13 Jul 15","123.46"
"10 Jul 15","122.67"
"09 Jul 15","121.32"
"08 Jul 15","121.05"
"07 Jul 15","122.21"
"06 Jul 15","122.65"
"03 Jul 15","122.71"
"02 Jul 15","123.07"
"01 Jul 15","122.95"
"30 Jun 15","122.36"
"29 Jun 15","122.66"
"26 Jun 15","123.94"
"25 Jun 15","123.7"
"24 Jun 15","124.33"
"23 Jun 15","123.89"
"22 Jun 15","123.21"
"19 Jun 15","122.76"
"18 Jun 15","122.98"
"17 Jun 15","124.24"
"16 Jun 15","123.44"
"15 Jun 15","123.49"
"12 Jun 15","123.28"
"11 Jun 15","123.67"
"10 Jun 15","122.63"
"09 Jun 15","124.37"
"08 Jun 15","125.34"
"05 Jun 15","125.65"
"04 Jun 15","124.49"
"03 Jun 15","124.13"
"02 Jun 15","124.12"
"01 Jun 15","124.53"
"29 May 15","124.06"
"28 May 15","124.24"
"27 May 15","123.76"
"26 May 15","123.06"
"22 May 15","121.44"
"21 May 15","121.16"
"20 May 15","121.2"
"19 May 15","120.68"
"18 May 15","119.84"
"15 May 15","119.3"
"14 May 15","119.23"
"13 May 15","119.1"
"12 May 15","119.89"
"11 May 15","119.94"
"08 May 15","119.77"
"07 May 15","119.5"
"06 May 15","119.38"
"05 May 15","120"
"01 May 15","120.11"
"30 Apr 15","119.67"
"29 Apr 15","118.94"
"28 Apr 15","118.84"
"27 Apr 15","119.14"
"24 Apr 15","119"
"23 Apr 15","119.66"
"22 Apr 15","119.83"
"21 Apr 15","119.53"
"20 Apr 15","119.26"
"17 Apr 15","119.06"
"16 Apr 15","119.32"
"15 Apr 15","119.31"
"14 Apr 15","119.15"
"13 Apr 15","120.35"
"10 Apr 15","120.2"
"09 Apr 15","120.34"
"08 Apr 15","119.97"
"07 Apr 15","120.32"
"02 Apr 15","119.75"
"01 Apr 15","119.65"
"31 Mar 15","119.91"
"30 Mar 15","119.99"
"27 Mar 15","119.16"
"26 Mar 15","119.02"
"25 Mar 15","119.38"
"24 Mar 15","119.93"
"23 Mar 15","119.75"
"20 Mar 15","120.28"
"19 Mar 15","120.91"
"18 Mar 15","120.92"
"17 Mar 15","121.29"
"16 Mar 15","121.31"
"13 Mar 15","121.17"
"12 Mar 15","121.29"
"11 Mar 15","121.51"
"10 Mar 15","121.21"
"09 Mar 15","121.18"
"06 Mar 15","121.15"
"05 Mar 15","120.16"
"04 Mar 15","119.65"
"03 Mar 15","119.58"
"02 Mar 15","120.13"
"27 Feb 15","119.53"
"26 Feb 15","119.36"
"25 Feb 15","118.85"
"24 Feb 15","119.2"
"23 Feb 15","118.9"
"20 Feb 15","118.74"
"19 Feb 15","119.01"
"18 Feb 15","119.15"
"17 Feb 15","118.99"
"16 Feb 15","118.49"
"13 Feb 15","118.67"
"12 Feb 15","118.99"
"11 Feb 15","120.37"
"10 Feb 15","119.27"
"09 Feb 15","118.57"
"06 Feb 15","119.01"
"05 Feb 15","117.47"
"04 Feb 15","117.53"
"03 Feb 15","117.53"
"02 Feb 15","117.26"
"30 Jan 15","117.45"
"29 Jan 15","118.07"
"28 Jan 15","117.73"
"27 Jan 15","117.49"
"26 Jan 15","118.42"
"23 Jan 15","117.84"
"22 Jan 15","117.93"
"21 Jan 15","117.75"
"20 Jan 15","118.34"
"19 Jan 15","117.53"
"16 Jan 15","117.65"
"15 Jan 15","116.89"
"14 Jan 15","116.9"
"13 Jan 15","118.5"
"12 Jan 15","118.65"
"09 Jan 15","118.87"
"08 Jan 15","119.68"
"07 Jan 15","119.45"
"06 Jan 15","118.71"
"05 Jan 15","119.59"
"02 Jan 15","120.2"
"31 Dec 14","119.33"
"30 Dec 14","119.38"
"29 Dec 14","120.58"
"24 Dec 14","120.43"
"23 Dec 14","120.7"
"22 Dec 14","119.93"
"19 Dec 14","119.44"
"18 Dec 14","118.85"
"17 Dec 14","117.41"
"16 Dec 14","117.2"
"15 Dec 14","118.39"
"12 Dec 14","118.54"
"11 Dec 14","119.44"
"10 Dec 14","118.78"
"09 Dec 14","118.98"
"08 Dec 14","120.93"
"05 Dec 14","121.41"
"04 Dec 14","119.73"
"03 Dec 14","119.64"
"02 Dec 14","119.13"
"01 Dec 14","118.32"
"28 Nov 14","118.69"
"27 Nov 14","117.83"
"26 Nov 14","117.54"
"25 Nov 14","117.86"
"24 Nov 14","118.4"
"21 Nov 14","117.58"
"20 Nov 14","118.14"
"19 Nov 14","117.7"
"18 Nov 14","116.63"
"17 Nov 14","116.45"
"14 Nov 14","116.5"
"13 Nov 14","115.8"
"12 Nov 14","115.15"
"11 Nov 14","115.81"
"10 Nov 14","114.65"
"07 Nov 14","114.97"
"06 Nov 14","114.72"
"05 Nov 14","114.51"
"04 Nov 14","113.29"
"03 Nov 14","114.19"
"31 Oct 14","112.09"
"30 Oct 14","108.97"
"29 Oct 14","108.11"
"28 Oct 14","108.01"
"27 Oct 14","107.71"
"24 Oct 14","108.17"
"23 Oct 14","108.14"
"22 Oct 14","107.22"
"21 Oct 14","106.71"
"20 Oct 14","106.89"
"17 Oct 14","106.66"
"16 Oct 14","106.09"
"15 Oct 14","106.21"
"14 Oct 14","107.06"
"13 Oct 14","107.35"
"10 Oct 14","107.91"
